job_id,job_title,salary_usd,location,work_type,experience_level,industry,company_size,skills_required,num_skills,post_date,applicants
JP-10394,ML Engineer,256000,"Boston, MA",On-Site,Lead (10+ yrs),Retail,Mid-Market (201-1000),"SQL, MongoDB, XGBoost, Redshift, GCP, Git, Airflow, TensorFlow",8,2025-04-09,76
JP-10395,Data Engineer,168000,"Denver, CO",Remote,Mid (3-5 yrs),Insurance,Enterprise (5000+),"Azure, dbt, Java, SQL, Kafka",5,2025-08-12,134
JP-10396,Data Analyst,72000,"Phoenix, AZ",Remote,Mid (3-5 yrs),Government,Large (1001-5000),"BigQuery, dbt, MongoDB, R, Kafka",5,2025-11-18,137
JP-10397,Data Analyst,92000,Remote,Remote,Entry (0-2 yrs),Education,Enterprise (5000+),"SQL, Airflow, Excel, PostgreSQL",4,2025-07-12,158
JP-10398,Analytics Engineer,89000,"Miami, FL",Hybrid,Mid (3-5 yrs),Education,Small (51-200),"Scala, PostgreSQL, Python, dbt",4,2025-10-02,79
JP-10399,Data Analyst,74000,"Dallas, TX",Remote,Entry (0-2 yrs),Technology,Enterprise (5000+),"Docker, R, Git, Tableau",4,2025-03-30,194
JP-10400,Senior Data Analyst,100000,"Raleigh, NC",On-Site,Mid (3-5 yrs),Media,Enterprise (5000+),"GCP, Snowflake, R",3,2025-10-18,77
JP-10401,Business Analyst,59000,"Nashville, TN",On-Site,Senior (6-10 yrs),Insurance,Mid-Market (201-1000),"Scala, Looker, Google Sheets",3,2025-05-06,91
JP-10402,Data Analyst,65000,"Miami, FL",Hybrid,Entry (0-2 yrs),Finance,Enterprise (5000+),"Power BI, Java",2,2025-10-15,120
JP-10403,Business Analyst,80000,"Portland, OR",On-Site,Entry (0-2 yrs),Education,Enterprise (5000+),"MongoDB, Excel, SQL, Scala",4,2025-05-26,131
JP-10404,Data Analyst,53000,"Phoenix, AZ",Hybrid,Mid (3-5 yrs),Technology,Startup (1-50),"MongoDB, Spark MLlib, PyTorch, Google Sheets, AWS, Snowflake",6,2025-12-23,82
JP-10405,ML Engineer,153000,"Atlanta, GA",Hybrid,Senior (6-10 yrs),Insurance,Enterprise (5000+),"GCP, Python, Power BI, Excel, Scikit-learn",5,2025-06-05,83
JP-10406,Data Analyst,88000,"Boston, MA",Hybrid,Entry (0-2 yrs),Technology,Enterprise (5000+),"Redshift, R, Google Sheets",3,2025-12-05,95
JP-10407,Data Scientist,121000,"Chicago, IL",On-Site,Entry (0-2 yrs),Media,Mid-Market (201-1000),"R, BigQuery, dbt, XGBoost",4,2025-10-30,99
JP-10408,BI Analyst,96000,"Dallas, TX",Hybrid,Mid (3-5 yrs),Retail,Enterprise (5000+),"PostgreSQL, Looker",2,2025-08-05,71
JP-10409,Data Analyst,65000,"Chicago, IL",On-Site,Entry (0-2 yrs),Manufacturing,Large (1001-5000),"Google Sheets, MySQL, Java",3,2025-09-18,102
JP-10410,Business Analyst,56000,"Atlanta, GA",Hybrid,Mid (3-5 yrs),Education,Startup (1-50),"Excel, Airflow, PostgreSQL, R",4,2025-09-30,80
JP-10411,Data Analyst,68000,"Austin, TX",Hybrid,Entry (0-2 yrs),Technology,Large (1001-5000),"Java, Looker, Git, SQL, MySQL, Google Sheets",6,2025-06-20,98
JP-10412,Analytics Engineer,172000,"Seattle, WA",Remote,Mid (3-5 yrs),Technology,Mid-Market (201-1000),"Airflow, MongoDB, Python",3,2025-03-17,116
JP-10413,BI Analyst,88000,"New York, NY",On-Site,Mid (3-5 yrs),Finance,Mid-Market (201-1000),"Excel, GCP",2,2025-02-27,88
JP-10414,Business Analyst,75000,"Dallas, TX",Hybrid,Mid (3-5 yrs),Technology,Small (51-200),"Java, Google Sheets, R",3,2025-05-21,79
JP-10415,Analytics Engineer,126000,"Miami, FL",On-Site,Lead (10+ yrs),Healthcare,Mid-Market (201-1000),"Java, Kafka, SQL",3,2025-08-21,70
JP-10416,Senior Data Scientist,99000,"Phoenix, AZ",Hybrid,Entry (0-2 yrs),Education,Startup (1-50),"Git, XGBoost, Scala, SQL, PostgreSQL, GCP",6,2025-03-12,125
JP-10417,Business Analyst,77000,"Chicago, IL",On-Site,Senior (6-10 yrs),Technology,Large (1001-5000),"R, Snowflake, MongoDB, Looker, Power BI, Azure",6,2025-12-14,83
JP-10418,Analytics Engineer,98000,"Phoenix, AZ",Remote,Mid (3-5 yrs),Finance,Large (1001-5000),"SQL, Snowflake, MongoDB",3,2025-08-28,112
JP-10419,Business Analyst,83000,"Atlanta, GA",On-Site,Senior (6-10 yrs),Technology,Mid-Market (201-1000),"Scala, Looker, SQL",3,2025-03-06,84
JP-10420,Data Scientist,200000,"San Francisco, CA",On-Site,Mid (3-5 yrs),Technology,Enterprise (5000+),"Git, Python, Excel, Google Sheets, SQL",5,2025-10-15,89
JP-10421,BI Analyst,102000,"Atlanta, GA",Remote,Senior (6-10 yrs),Finance,Large (1001-5000),"AWS, Java, PostgreSQL, Tableau, Python, Git, Databricks",7,2025-11-10,113
JP-10422,Senior Data Engineer,161000,"Raleigh, NC",Hybrid,Senior (6-10 yrs),Technology,Mid-Market (201-1000),"Snowflake, MySQL, Databricks, Scala, Airflow, R, PostgreSQL",7,2025-01-18,61
JP-10423,Data Engineer,162000,"Nashville, TN",Hybrid,Lead (10+ yrs),Insurance,Startup (1-50),"SQL, Azure, Redshift, Python, Databricks, Airflow",6,2025-07-21,57
JP-10424,Data Analyst,73000,"Raleigh, NC",Hybrid,Mid (3-5 yrs),Technology,Enterprise (5000+),"Scala, Redshift, Google Sheets, dbt, BigQuery, Looker",6,2025-07-16,97
JP-10425,BI Analyst,73000,"Denver, CO",Remote,Entry (0-2 yrs),Manufacturing,Large (1001-5000),"Excel, Scala, BigQuery, Python",4,2025-03-24,128
JP-10426,Data Scientist,104000,"Dallas, TX",On-Site,Entry (0-2 yrs),Insurance,Startup (1-50),"Git, BigQuery, R, Databricks, Docker",5,2025-02-04,147
JP-10427,Data Scientist,123000,"Miami, FL",On-Site,Entry (0-2 yrs),Healthcare,Large (1001-5000),"Python, GCP, Airflow, dbt",4,2025-09-23,117
JP-10428,ML Engineer,141000,"Dallas, TX",Hybrid,Senior (6-10 yrs),Technology,Startup (1-50),"Databricks, Scikit-learn, Airflow, Power BI, SQL, Python, Git, TensorFlow, BigQuery, Azure",10,2025-09-17,80
JP-10429,Senior Data Analyst,194000,"Boston, MA",Hybrid,Lead (10+ yrs),Technology,Enterprise (5000+),"Excel, MySQL, BigQuery, Power BI",4,2025-03-01,69
JP-10430,Data Scientist,84000,"Nashville, TN",On-Site,Entry (0-2 yrs),Finance,Mid-Market (201-1000),"Scala, MongoDB, Airflow, Git, Google Sheets",5,2025-05-30,118
JP-10431,Data Analyst,72000,"Denver, CO",Hybrid,Entry (0-2 yrs),Insurance,Large (1001-5000),"SQL, R, Looker",3,2025-12-24,149
JP-10432,Senior Data Scientist,276000,"New York, NY",Hybrid,Lead (10+ yrs),Healthcare,Mid-Market (201-1000),"Scala, Tableau, AWS, R, Azure",5,2025-01-18,78
JP-10433,Business Analyst,59000,"Portland, OR",Hybrid,Entry (0-2 yrs),Manufacturing,Enterprise (5000+),"Power BI, Java",2,2025-10-05,118
JP-10434,BI Analyst,72000,"Nashville, TN",On-Site,Entry (0-2 yrs),Manufacturing,Large (1001-5000),"Google Sheets, Excel, R, Python",4,2025-10-01,118
JP-10435,Data Scientist,111000,"Portland, OR",Hybrid,Entry (0-2 yrs),Finance,Mid-Market (201-1000),"Tableau, R, Git, Kafka, Spark MLlib, Looker, Python",7,2025-10-19,128
JP-10436,Data Engineer,78000,"Raleigh, NC",On-Site,Entry (0-2 yrs),Technology,Mid-Market (201-1000),"Databricks, Kafka, GCP, Scala, MySQL",5,2025-04-30,135
JP-10437,Data Analyst,114000,"San Francisco, CA",Hybrid,Mid (3-5 yrs),Technology,Enterprise (5000+),"Redshift, AWS, GCP, SQL",4,2025-06-16,72
JP-10438,Data Engineer,98000,"Raleigh, NC",Hybrid,Mid (3-5 yrs),Finance,Startup (1-50),"Scala, MongoDB, SQL",3,2025-03-18,84
JP-10439,ML Engineer,261000,"San Francisco, CA",Hybrid,Senior (6-10 yrs),Media,Enterprise (5000+),"Spark MLlib, SQL, Azure, Scikit-learn",4,2025-09-28,92
JP-10440,BI Analyst,69000,"Portland, OR",Hybrid,Entry (0-2 yrs),Technology,Mid-Market (201-1000),"Looker, AWS",2,2025-07-05,107
JP-10441,Data Analyst,76000,"Dallas, TX",Remote,Mid (3-5 yrs),Technology,Mid-Market (201-1000),"BigQuery, Databricks, R, Azure",4,2025-10-22,142
JP-10442,Data Scientist,119000,"Nashville, TN",Remote,Mid (3-5 yrs),Technology,Small (51-200),"Excel, Spark MLlib, Git, XGBoost, MongoDB, AWS, Java, Python",8,2025-02-07,124
JP-10443,BI Analyst,74000,"Boston, MA",Hybrid,Mid (3-5 yrs),Manufacturing,Mid-Market (201-1000),"R, Databricks, Google Sheets, Tableau, Redshift",5,2025-06-02,81
JP-10444,Data Scientist,143000,"San Francisco, CA",Hybrid,Mid (3-5 yrs),Education,Mid-Market (201-1000),"Snowflake, BigQuery, dbt, Spark MLlib, Azure, R",6,2025-04-29,76
JP-10445,Data Engineer,221000,"Seattle, WA",Remote,Senior (6-10 yrs),Technology,Enterprise (5000+),"AWS, Git, Snowflake, MySQL",4,2025-12-28,123
JP-10446,ML Engineer,136000,"New York, NY",On-Site,Entry (0-2 yrs),Technology,Mid-Market (201-1000),"Python, Kafka, Azure, Spark MLlib, SQL",5,2025-04-08,107
JP-10447,Analytics Engineer,99000,"Miami, FL",On-Site,Senior (6-10 yrs),Technology,Startup (1-50),"Azure, R, Airflow",3,2025-01-02,83
JP-10448,Data Scientist,103000,"Atlanta, GA",Hybrid,Entry (0-2 yrs),Consulting,Large (1001-5000),"R, MongoDB, SQL, Power BI, Looker, Redshift",6,2025-02-27,110
JP-10449,ML Engineer,148000,"Nashville, TN",On-Site,Mid (3-5 yrs),Technology,Mid-Market (201-1000),"Azure, Airflow, Kafka, BigQuery, XGBoost, SQL",6,2025-07-30,80
JP-10450,Business Analyst,48000,"Atlanta, GA",Hybrid,Entry (0-2 yrs),Consulting,Enterprise (5000+),"Java, Git, Kafka, PostgreSQL, SQL, Power BI",6,2025-12-02,106
JP-10451,Data Analyst,93000,"Austin, TX",Hybrid,Senior (6-10 yrs),Finance,Enterprise (5000+),"Python, R, Scala",3,2025-09-14,82
JP-10452,Business Analyst,58000,"Atlanta, GA",Remote,Entry (0-2 yrs),Media,Mid-Market (201-1000),"Python, AWS, Excel, GCP",4,2025-10-05,194
JP-10453,Data Engineer,183000,"Seattle, WA",On-Site,Mid (3-5 yrs),Retail,Enterprise (5000+),"Kafka, Scala, BigQuery, AWS",4,2025-12-26,101
JP-10454,Senior Data Scientist,167000,"Austin, TX",Remote,Senior (6-10 yrs),Finance,Mid-Market (201-1000),"Scikit-learn, AWS, BigQuery, R, Power BI, Docker",6,2025-05-10,148
JP-10455,Data Scientist,140000,"Minneapolis, MN",On-Site,Senior (6-10 yrs),Retail,Startup (1-50),"TensorFlow, Git, R, Airflow",4,2025-07-12,76
JP-10456,Data Analyst,76000,"San Francisco, CA",Hybrid,Entry (0-2 yrs),Manufacturing,Small (51-200),"MongoDB, R, Power BI, Java",4,2025-11-11,102
JP-10457,Analytics Engineer,129000,"Portland, OR",Remote,Senior (6-10 yrs),Media,Small (51-200),"MySQL, Azure, XGBoost, MongoDB, Scikit-learn, Google Sheets, Docker, Excel",8,2025-02-01,142
JP-10458,Data Engineer,174000,"Portland, OR",Remote,Lead (10+ yrs),Finance,Large (1001-5000),"MySQL, PostgreSQL, SQL, Kafka, Docker",5,2025-05-24,132
JP-10459,Data Analyst,70000,"Portland, OR",Remote,Mid (3-5 yrs),Finance,Mid-Market (201-1000),"MySQL, Scala, SQL",3,2025-11-11,124
JP-10460,Data Analyst,89000,"Seattle, WA",On-Site,Senior (6-10 yrs),Technology,Mid-Market (201-1000),"Tableau, Snowflake, Java",3,2025-11-06,85
JP-10461,Analytics Engineer,170000,Remote,Remote,Senior (6-10 yrs),Consulting,Enterprise (5000+),"Snowflake, Kafka, Redshift, Java, Docker",5,2025-01-06,137
JP-10462,Senior Data Analyst,157000,"Boston, MA",Remote,Senior (6-10 yrs),Education,Large (1001-5000),"Snowflake, Looker",2,2025-11-17,128
JP-10463,Data Analyst,84000,"Portland, OR",Remote,Mid (3-5 yrs),Retail,Large (1001-5000),"Tableau, BigQuery, Scala, PostgreSQL",4,2025-11-23,160
JP-10464,BI Analyst,111000,"Boston, MA",On-Site,Senior (6-10 yrs),Retail,Small (51-200),"Looker, Power BI",2,2025-08-02,92
JP-10465,Analytics Engineer,115000,"Miami, FL",Remote,Mid (3-5 yrs),Consulting,Enterprise (5000+),"BigQuery, Docker, Redshift, AWS, SQL",5,2025-02-14,132
JP-10466,Senior Data Analyst,152000,"Portland, OR",On-Site,Senior (6-10 yrs),Technology,Large (1001-5000),"Power BI, GCP, Kafka, dbt, BigQuery, R, Google Sheets, PyTorch",8,2025-11-20,94
JP-10467,Senior Data Engineer,186000,"Seattle, WA",On-Site,Mid (3-5 yrs),Healthcare,Large (1001-5000),"Azure, PostgreSQL, GCP, MongoDB",4,2025-08-28,88
JP-10468,Business Analyst,76000,"Nashville, TN",Hybrid,Mid (3-5 yrs),Healthcare,Large (1001-5000),"Java, Scala, R",3,2025-06-22,78
JP-10469,Data Engineer,130000,"New York, NY",On-Site,Mid (3-5 yrs),Technology,Mid-Market (201-1000),"Scala, Java, Airflow, GCP",4,2025-08-04,83
JP-10470,Data Scientist,112000,"Chicago, IL",Hybrid,Entry (0-2 yrs),Technology,Large (1001-5000),"Docker, Power BI, Google Sheets, Scikit-learn, MySQL, Scala, Kafka",7,2025-05-01,98
JP-10471,Analytics Engineer,132000,"Denver, CO",On-Site,Mid (3-5 yrs),Media,Small (51-200),"Python, Kafka, Excel, Docker, Power BI, Azure, AWS",7,2025-06-27,72
JP-10472,Data Scientist,84000,"Minneapolis, MN",Hybrid,Mid (3-5 yrs),Media,Small (51-200),"MySQL, Python",2,2025-08-11,84
JP-10473,Data Analyst,64000,"Denver, CO",Remote,Entry (0-2 yrs),Retail,Small (51-200),"Airflow, Java, Docker, Google Sheets",4,2025-03-07,161
JP-10474,Data Engineer,182000,"Denver, CO",Hybrid,Lead (10+ yrs),Finance,Mid-Market (201-1000),"BigQuery, Airflow, GCP, Kafka, SQL, Snowflake, Redshift",7,2025-12-29,69
JP-10475,Data Engineer,127000,"Austin, TX",On-Site,Mid (3-5 yrs),Technology,Large (1001-5000),"Airflow, Java, MongoDB, GCP",4,2025-06-16,78
JP-10476,Business Analyst,106000,"San Francisco, CA",Remote,Mid (3-5 yrs),Finance,Large (1001-5000),"Excel, R, Looker",3,2025-01-21,107
JP-10477,Data Analyst,100000,"Boston, MA",Remote,Mid (3-5 yrs),Education,Enterprise (5000+),"Kafka, Python, SQL, Airflow",4,2025-10-20,118
JP-10478,Business Analyst,55000,"Chicago, IL",Hybrid,Entry (0-2 yrs),Media,Enterprise (5000+),"PostgreSQL, TensorFlow, Java, Power BI, Looker",5,2025-08-25,130
JP-10479,Data Engineer,126000,Remote,Remote,Mid (3-5 yrs),Technology,Mid-Market (201-1000),"Git, Snowflake, SQL, MongoDB",4,2025-09-13,115
JP-10480,Senior Data Analyst,65000,"Minneapolis, MN",Hybrid,Entry (0-2 yrs),Manufacturing,Small (51-200),"Databricks, GCP, MySQL, Looker",4,2025-10-17,112
JP-10481,Data Scientist,179000,Remote,Remote,Lead (10+ yrs),Healthcare,Startup (1-50),"TensorFlow, Google Sheets, Tableau, AWS, Scala",5,2025-08-03,115
JP-10482,Analytics Engineer,169000,"Chicago, IL",On-Site,Senior (6-10 yrs),Consulting,Large (1001-5000),"dbt, Java, Docker, Excel, Databricks, Azure, Scala, Redshift",8,2025-03-12,84
JP-10483,Data Engineer,118000,"Dallas, TX",Remote,Mid (3-5 yrs),Technology,Large (1001-5000),"TensorFlow, Java, Kafka, XGBoost, BigQuery",5,2025-02-03,120
JP-10484,Analytics Engineer,159000,"Austin, TX",Hybrid,Senior (6-10 yrs),Government,Small (51-200),"Scala, Redshift, Python, PostgreSQL",4,2025-09-24,84
JP-10485,ML Engineer,147000,"Raleigh, NC",Remote,Mid (3-5 yrs),Consulting,Mid-Market (201-1000),"Scala, Python, Docker, Git, Scikit-learn, PyTorch",6,2025-03-28,126
JP-10486,Business Analyst,67000,"Miami, FL",Remote,Mid (3-5 yrs),Technology,Small (51-200),"Google Sheets, Looker, Scala, Java, PostgreSQL",5,2025-01-14,163
JP-10487,Senior Data Analyst,166000,"Boston, MA",Hybrid,Lead (10+ yrs),Technology,Small (51-200),"Snowflake, Power BI, TensorFlow, Java, MongoDB",5,2025-06-26,71
JP-10488,Data Engineer,108000,"Portland, OR",Hybrid,Mid (3-5 yrs),Education,Mid-Market (201-1000),"R, AWS, GCP, MySQL, Java, MongoDB, Git",7,2025-04-14,79
JP-10489,Business Analyst,94000,"San Francisco, CA",Hybrid,Mid (3-5 yrs),Technology,Enterprise (5000+),"Tableau, MySQL",2,2025-04-27,84
JP-10490,Senior Data Engineer,214000,"Atlanta, GA",Remote,Senior (6-10 yrs),Technology,Large (1001-5000),"MySQL, Databricks, Airflow, Python, R, BigQuery",6,2025-02-21,115
JP-10491,Senior Data Scientist,167000,"Austin, TX",Hybrid,Senior (6-10 yrs),Manufacturing,Large (1001-5000),"Kafka, R, Spark MLlib, MongoDB, Java, GCP",6,2025-02-27,81
JP-10492,ML Engineer,157000,Remote,Remote,Mid (3-5 yrs),Government,Mid-Market (201-1000),"TensorFlow, Spark MLlib, Python, Snowflake",4,2025-06-13,132
JP-10493,BI Analyst,73000,"Atlanta, GA",Hybrid,Entry (0-2 yrs),Retail,Enterprise (5000+),"Google Sheets, Power BI, Java",3,2025-04-28,95
JP-10494,ML Engineer,145000,"Atlanta, GA",On-Site,Mid (3-5 yrs),Finance,Mid-Market (201-1000),"TensorFlow, Java, Snowflake, SQL",4,2025-04-17,86
JP-10495,Data Engineer,104000,"Chicago, IL",On-Site,Mid (3-5 yrs),Finance,Startup (1-50),"BigQuery, R, Java, PostgreSQL, GCP",5,2025-01-31,73
JP-10496,Data Analyst,70000,"Miami, FL",Remote,Senior (6-10 yrs),Technology,Mid-Market (201-1000),"Google Sheets, SQL, Java, Looker, MongoDB",5,2025-03-13,156
JP-10497,BI Analyst,78000,"New York, NY",On-Site,Entry (0-2 yrs),Manufacturing,Large (1001-5000),"Looker, Power BI",2,2025-05-11,107
JP-10498,Data Engineer,127000,"Nashville, TN",Remote,Mid (3-5 yrs),Media,Large (1001-5000),"Tableau, Python, PostgreSQL, Kafka, SQL, Redshift",6,2025-10-21,128
JP-10499,ML Engineer,184000,"Portland, OR",On-Site,Senior (6-10 yrs),Finance,Large (1001-5000),"Git, Scikit-learn, GCP, R, Snowflake, XGBoost",6,2025-03-19,72
JP-10500,Senior Data Analyst,105000,"Austin, TX",Hybrid,Senior (6-10 yrs),Retail,Mid-Market (201-1000),"Google Sheets, Power BI, MongoDB, Spark MLlib, GCP, SQL",6,2025-04-14,89
JP-10501,Business Analyst,83000,"Denver, CO",Remote,Entry (0-2 yrs),Finance,Enterprise (5000+),"Java, MySQL, Python, Excel",4,2025-02-17,196
JP-10502,ML Engineer,112000,"Dallas, TX",Hybrid,Mid (3-5 yrs),Technology,Mid-Market (201-1000),"Scala, Scikit-learn, BigQuery, SQL, Databricks",5,2025-06-08,77
JP-10503,Analytics Engineer,177000,"Denver, CO",On-Site,Lead (10+ yrs),Technology,Mid-Market (201-1000),"TensorFlow, dbt, Airflow, Databricks, Java, Tableau, Looker",7,2025-03-30,76
JP-10504,Data Analyst,84000,"Dallas, TX",Remote,Mid (3-5 yrs),Finance,Enterprise (5000+),"PostgreSQL, Power BI",2,2025-01-15,142
JP-10505,Analytics Engineer,166000,"San Francisco, CA",On-Site,Entry (0-2 yrs),Finance,Enterprise (5000+),"Snowflake, Docker, R, Power BI, dbt, AWS",6,2025-05-12,134
JP-10506,Data Analyst,77000,"Miami, FL",Hybrid,Mid (3-5 yrs),Healthcare,Large (1001-5000),"Scala, Power BI, R, Git, AWS, dbt, Redshift, MongoDB",8,2025-08-05,87
JP-10507,Business Analyst,94000,"Seattle, WA",On-Site,Mid (3-5 yrs),Media,Enterprise (5000+),"Tableau, Power BI",2,2025-10-20,77
JP-10508,Data Scientist,160000,"Raleigh, NC",Remote,Lead (10+ yrs),Finance,Enterprise (5000+),"Databricks, Kafka, Excel, Git",4,2025-12-06,100
JP-10509,Data Analyst,53000,"Raleigh, NC",On-Site,Mid (3-5 yrs),Finance,Small (51-200),"GCP, Tableau, Python, Azure",4,2025-07-23,105
JP-10510,BI Analyst,60000,"Nashville, TN",Hybrid,Mid (3-5 yrs),Media,Small (51-200),"Tableau, R, Scala",3,2025-07-11,80
JP-10511,Data Analyst,55000,"Miami, FL",Hybrid,Entry (0-2 yrs),Insurance,Enterprise (5000+),"Scala, Docker, Git, MongoDB, Tableau",5,2025-04-17,117
JP-10512,ML Engineer,140000,"Portland, OR",On-Site,Mid (3-5 yrs),Technology,Startup (1-50),"PostgreSQL, Java, R, Azure, TensorFlow, MySQL",6,2025-06-17,84
JP-10513,Data Analyst,67000,"New York, NY",Hybrid,Mid (3-5 yrs),Healthcare,Startup (1-50),"Power BI, Tableau, Python",3,2025-05-11,88
JP-10514,Data Analyst,60000,"Atlanta, GA",Hybrid,Mid (3-5 yrs),Media,Enterprise (5000+),"Google Sheets, Snowflake, Looker, Python, Databricks",5,2025-08-03,73
JP-10515,Data Engineer,113000,"Chicago, IL",Hybrid,Senior (6-10 yrs),Healthcare,Startup (1-50),"Snowflake, Redshift, Java, Git, Databricks, PostgreSQL, Airflow",7,2025-06-27,75
JP-10516,Data Engineer,117000,"Atlanta, GA",Hybrid,Entry (0-2 yrs),Finance,Enterprise (5000+),"Python, GCP, AWS, MongoDB, Docker, Java",6,2025-06-16,86
JP-10517,Data Scientist,178000,Remote,Remote,Senior (6-10 yrs),Technology,Small (51-200),"MongoDB, MySQL, SQL, XGBoost",4,2025-11-24,142
JP-10518,Data Scientist,119000,"Portland, OR",Hybrid,Mid (3-5 yrs),Manufacturing,Large (1001-5000),"Redshift, Git, Java",3,2025-07-23,83
JP-10519,Data Engineer,221000,"New York, NY",Remote,Lead (10+ yrs),Retail,Large (1001-5000),"GCP, SQL, AWS, PostgreSQL",4,2025-12-08,126
JP-10520,ML Engineer,190000,"San Francisco, CA",Remote,Mid (3-5 yrs),Manufacturing,Large (1001-5000),"XGBoost, R, Git, Redshift, Python",5,2025-05-14,124
JP-10521,Senior Data Engineer,250000,Remote,Remote,Senior (6-10 yrs),Finance,Enterprise (5000+),"SQL, Looker, Scala, AWS, Docker, Redshift, Power BI",7,2025-10-22,140
JP-10522,Analytics Engineer,92000,"Atlanta, GA",Hybrid,Entry (0-2 yrs),Government,Large (1001-5000),"BigQuery, Redshift, GCP, AWS, Spark MLlib, PyTorch, Python",7,2025-06-08,110
JP-10523,Senior Data Scientist,190000,"Miami, FL",Hybrid,Lead (10+ yrs),Insurance,Large (1001-5000),"Git, Scala, Databricks, Google Sheets, dbt, Scikit-learn, AWS",7,2025-03-03,87
JP-10524,Business Analyst,93000,"New York, NY",Hybrid,Mid (3-5 yrs),Media,Large (1001-5000),"Power BI, SQL, MySQL",3,2025-06-23,72
JP-10525,Data Scientist,130000,"New York, NY",Remote,Entry (0-2 yrs),Healthcare,Enterprise (5000+),"Python, Scikit-learn",2,2025-02-05,229
JP-10526,ML Engineer,116000,"Austin, TX",Hybrid,Mid (3-5 yrs),Finance,Small (51-200),"Scala, Spark MLlib, PostgreSQL, SQL, Redshift, TensorFlow",6,2025-10-30,81
JP-10527,Data Scientist,176000,"Nashville, TN",Hybrid,Lead (10+ yrs),Education,Large (1001-5000),"Docker, MongoDB, Scala, Java, TensorFlow",5,2025-09-24,66
JP-10528,Data Analyst,62000,"Miami, FL",On-Site,Mid (3-5 yrs),Healthcare,Large (1001-5000),"SQL, Excel, BigQuery, Scala, Looker",5,2025-05-28,75
JP-10529,BI Analyst,74000,"Minneapolis, MN",Hybrid,Senior (6-10 yrs),Finance,Startup (1-50),"Looker, dbt, BigQuery",3,2025-09-18,77
JP-10530,Business Analyst,68000,"Minneapolis, MN",On-Site,Senior (6-10 yrs),Education,Startup (1-50),"Power BI, Airflow",2,2025-05-04,75
JP-10531,Data Engineer,104000,"Nashville, TN",Hybrid,Mid (3-5 yrs),Technology,Small (51-200),"MongoDB, Databricks, MySQL, Git",4,2025-08-01,73
JP-10532,BI Analyst,72000,"Denver, CO",On-Site,Senior (6-10 yrs),Technology,Small (51-200),"Google Sheets, Tableau, Python, AWS, Java, Snowflake",6,2025-05-26,94
JP-10533,Analytics Engineer,147000,"Chicago, IL",On-Site,Senior (6-10 yrs),Technology,Mid-Market (201-1000),"AWS, PostgreSQL, MySQL, R, Scala",5,2025-08-15,84
JP-10534,Data Engineer,180000,"San Francisco, CA",On-Site,Mid (3-5 yrs),Technology,Large (1001-5000),"Airflow, R, MongoDB",3,2025-04-26,83
JP-10535,Senior Data Analyst,143000,"Austin, TX",Hybrid,Lead (10+ yrs),Technology,Mid-Market (201-1000),"MySQL, Snowflake, Airflow, Scala, AWS, Looker, Kafka",7,2025-04-25,69
JP-10536,BI Analyst,105000,"San Francisco, CA",Hybrid,Senior (6-10 yrs),Healthcare,Startup (1-50),"Google Sheets, Redshift, BigQuery, Excel",4,2025-04-25,85
JP-10537,Data Analyst,90000,"Miami, FL",Remote,Lead (10+ yrs),Education,Enterprise (5000+),"SQL, BigQuery, Google Sheets, dbt, Docker",5,2025-06-22,137
JP-10538,Business Analyst,47000,"Denver, CO",On-Site,Entry (0-2 yrs),Technology,Small (51-200),"Scala, SQL",2,2025-07-21,120
JP-10539,Data Analyst,98000,"New York, NY",Hybrid,Senior (6-10 yrs),Media,Mid-Market (201-1000),"Excel, Redshift, Google Sheets, MySQL, R, Azure",6,2025-06-12,76
JP-10540,Data Scientist,135000,"Raleigh, NC",Remote,Mid (3-5 yrs),Insurance,Enterprise (5000+),"PyTorch, AWS, Scala, Redshift, Python, dbt",6,2025-12-27,113
JP-10541,Data Analyst,68000,"Chicago, IL",On-Site,Senior (6-10 yrs),Technology,Small (51-200),"Java, Looker, R, BigQuery, Airflow, Power BI",6,2025-08-14,84
JP-10542,Data Engineer,205000,"Seattle, WA",On-Site,Lead (10+ yrs),Healthcare,Enterprise (5000+),"GCP, Azure, Kafka, SQL, Power BI, BigQuery, Docker, Python, MySQL, Excel",10,2025-03-27,106
JP-10543,Data Analyst,82000,"Austin, TX",Hybrid,Mid (3-5 yrs),Technology,Mid-Market (201-1000),"Google Sheets, MongoDB, GCP, Java, Python",5,2025-07-28,83
JP-10544,Senior Data Engineer,197000,"Seattle, WA",Hybrid,Senior (6-10 yrs),Finance,Small (51-200),"AWS, Redshift, Python, Airflow, Databricks",5,2025-01-07,68
JP-10545,BI Analyst,88000,"Boston, MA",On-Site,Mid (3-5 yrs),Insurance,Startup (1-50),"Tableau, PostgreSQL, BigQuery, dbt, Airflow",5,2025-07-18,84
JP-10546,Business Analyst,67000,"Dallas, TX",Hybrid,Lead (10+ yrs),Retail,Small (51-200),"Redshift, Scala, AWS, MySQL",4,2025-04-07,83
JP-10547,Senior Data Analyst,148000,"Boston, MA",On-Site,Senior (6-10 yrs),Retail,Small (51-200),"SQL, Looker",2,2025-05-25,89
JP-10548,BI Analyst,83000,"New York, NY",Remote,Mid (3-5 yrs),Retail,Mid-Market (201-1000),"Excel, Tableau",2,2025-12-24,121
